"","distance","bio1","bio4","bio12","bio15","solar_radiation","human_footprint"
"27",0.0157490237534795,274.333333333333,1088.66666666667,1884.66666666667,14937.3333333333,19423.5,NA
"28",0.0393633762417043,284.666666666667,3210.33333333333,1488.33333333333,26145,16469.0833333333,6
"29",0.295626003027279,244.666666666667,1051.66666666667,1680.66666666667,9636,19417.25,46
"30",0.0737262375554284,264.666666666667,1579.33333333333,1787,13162.3333333333,20017.75,7.74521112442017
"31",2.08942258837305e-17,49.6666666666667,11740.3333333333,703.666666666667,34405.3333333333,12327,1
"32",0.0300692171153042,176,3378,912,15037.6666666667,15706.5833333333,41.052864074707
"33",0.0396677435855181,-8.66666666666667,3385.33333333333,322,5117.66666666667,NA,NA
"34",2.15330661898956e-17,52,11868.6666666667,710.666666666667,34689,12327,1
"35",0.00490768567670492,241.666666666667,3581.66666666667,1336,29094,19639.4166666667,2
"36",0.0313157296967834,184.666666666667,6756.33333333333,591.333333333333,15843.6666666667,19156.9166666667,7.74087476730347
"37",0.0212866429931373,176,3378,912,15037.6666666667,15706.5833333333,41.052864074707
"38",0.0199486577682927,174.666666666667,5357,813.333333333333,13281,13858.5833333333,NA
"39",0.0105371890469623,302,3822,1018.66666666667,27858.6666666667,15818.25,4.97999334335327
"40",3.6011643958296e-17,55.6666666666667,11628,706,35039.3333333333,12304.0833333333,13.4085445404053
"41",0.0398813841004848,219.666666666667,2795.66666666667,1245.66666666667,22466.3333333333,19722.1666666667,7.92997407913208
"42",2.19691311676253e-17,48,11694.6666666667,687.666666666667,34147.6666666667,12293,11.0543966293335
"43",1.97236959017175e-17,48,11694.6666666667,687.666666666667,34147.6666666667,12293,7.50967359542847
"44",0.207712808544501,193.333333333333,8423.66666666667,657.666666666667,25244,19760.1666666667,33.6524085998535
"45",0.00389712207619448,306,3852.66666666667,1026.66666666667,27930.6666666667,15712,13.5116701126099
"46",0.117477366535936,-97.6666666666667,11207.3333333333,235.666666666667,17053.6666666667,9238,3.2789454460144
"47",2.20969806271556e-17,55.6666666666667,11628,706,35039.3333333333,12309.9166666667,5.64079332351685
"48",0.128008839440684,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"49",0.107411118576135,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"50",0.136191893670552,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"51",0.0706690722872722,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"52",0.0776465536761275,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"53",5.04443832718401e-17,60.3333333333333,11474.3333333333,709.666666666667,34540.6666666667,12327.0833333333,1
"54",0.0813888821945776,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"55",0.0217375808537176,120.666666666667,5913.33333333333,696,16816.3333333333,9957.33333333333,31.7504062652588
"56",0.0132125037271118,136.666666666667,4099,698,13435,13067.6666666667,15.5767097473145
"57",2.59052039079203e-17,63.3333333333333,11561,722.333333333333,35341,12342.5833333333,1
"58",2.39998425998295e-17,53.6666666666667,11840.3333333333,709.333333333333,34547.6666666667,12332.5,1
"59",2.41502419913904e-17,52,11868.6666666667,710.666666666667,34689,12348.8333333333,1.05076634883881
"60",0.0242516439469201,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"61",0.0837418023426502,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"62",0.0768836564222311,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"63",0.01679332008209,266.666666666667,2950.66666666667,1618.33333333333,32284,16709.0833333333,NA
"64",0.314632248057696,-8,10559.3333333333,444.333333333333,19028.3333333333,16788.9166666667,0
"65",0.104489371783683,264.666666666667,4210.66666666667,1273,35441,16062.4166666667,3.48979043960571
"66",0.0134289320884045,264.666666666667,4210.66666666667,1273,35441,16062.4166666667,3.48979043960571
"67",0.0793535405747768,275,4221,1107,27523.6666666667,15958.75,2.65528559684753
"68",0.01305501620786,168.333333333333,5756,722,14803,15431.25,13.3617486953735
"69",0.0499746558192676,184.666666666667,6756.33333333333,591.333333333333,15843.6666666667,19156.9166666667,7.74087476730347
"70",0.0352733686067039,184.666666666667,6756.33333333333,591.333333333333,15843.6666666667,19156.9166666667,7.74087476730347
"71",6.03129422744024e-17,55.6666666666667,11628,706,35039.3333333333,12290.25,10.4752759933472
"72",3.14078308459751e-17,55.6666666666667,11628,706,35039.3333333333,12290.25,6.64275455474854
"73",2.84756793070676e-17,49.3333333333333,11705,708.333333333333,34663,12322.4166666667,0
"74",2.39287142534324e-17,49.3333333333333,11705,708.333333333333,34663,12322.4166666667,0
"75",2.5175708277848e-17,49.3333333333333,11705,708.333333333333,34663,12327,0
"76",0.0804305752642078,170.333333333333,7362.66666666667,689.666666666667,19383.6666666667,15595.5,2
"77",0.0196596489982556,170.333333333333,7362.66666666667,689.666666666667,19383.6666666667,15595.5,2
"78",0.0102040816326518,170.333333333333,7362.66666666667,689.666666666667,19383.6666666667,15595.5,2
"79",0.0234375000000004,170.333333333333,7362.66666666667,689.666666666667,19383.6666666667,15595.5,2
"80",0.0229180508586746,176,3378,912,15037.6666666667,15706.5833333333,41.052864074707
"81",0.0469095835384595,176,3378,912,15037.6666666667,15706.5833333333,41.052864074707
"82",0.0337606013657656,176,3378,912,15037.6666666667,15706.5833333333,41.052864074707
"83",0.0277554222198856,168.333333333333,5756,722,14803,15431.25,13.3617486953735
