"","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"21","Network #940","Dataset #65","mutualistic",156,200,0.00821827744904668,1.28205128205128,"compilation of records on plant-flower visitor interactions in the Galápagos archipelago found in the literature. Pinta Island",NA,1993,"mccullen","null","terrestrial",282.666666666667,120,72,1569.33333333333,368,199.666666666667,168.666666666667,301.666666666667,269,303.333333333333,265.333333333333,1355.33333333333,1609,1133,16536.3333333333,1561.66666666667,1169.33333333333,1547,1213,78,16591.5833333333,78,NA,"Network #940",0.0401039009302747,12.5861950508096,39.0838959485057,48.3299090006846
"22","Network #1598","Dataset #166","mutualistic",49,106,0.0441482715535194,2.16326530612245,"Plant-pollinator network in a sub-alpine desert on the island of Tenerife, Canary Islands","10.1034/j.1600-0587.2003.03443.x",2003,"dupont","https://onlinelibrary.wiley.com/doi/full/10.1034/j.1600-0587.2003.03443.x","terrestrial",236.666666666667,89.6666666666667,51.3333333333333,2481,334,164,170,263.333333333333,216,266,208.333333333333,1109.33333333333,1369.33333333333,859.333333333333,17094.6666666667,1319,915.666666666667,1304,964.333333333333,79,21363.8333333333,79,10.8288450241089,"Network #1598",0.0566918061525097,19.6113925764384,21.9190139614851,58.4695934620765
"23","Network #1599","Dataset #167","mutualistic",50,95,0.038,1.9,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,80,18401,80,11.8654489517212,"Network #1599",0.0544853851186548,9.07126940375901,19.4618243778874,71.4669062183536
"24","Network #948","Dataset #66","mutualistic",456,871,0.00418878885811019,1.91008771929825,"Flower and anthophilous insect interactions in the primary cool-temperate subalpine forests and meadows at Mt. Kushigata, Yamanashi Prefecture, Japan",NA,1993,"kato","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/156107/1/cbl02802_119.pdf","terrestrial",89.6666666666667,196.333333333333,46.3333333333333,8504,276,-148.333333333333,424.333333333333,190.666666666667,-16.6666666666667,192,-17.6666666666667,837.666666666667,1472.33333333333,338.333333333333,39096,1361,402.333333333333,1357.33333333333,403.666666666667,81,13570.25,81,10.8143396377563,"Network #948",0.0310361793608515,21.1687883517811,31.7206905042383,47.1105211439806
"25","Network #909","Dataset #9","mutualistic",142,242,0.012001586986709,1.70422535211268,"Flower-visiting insect at Mt. Latnjatjarro, northern Sweden","10.2307/3683041",1999,"elberling","https://www.jstor.org/stable/3683041?seq=1#page_scan_tab_contents","terrestrial",-3.33333333333333,186,41.6666666666667,8548,224,-223.666666666667,447.666666666667,111.666666666667,-89.3333333333333,112,-92,422,831.333333333333,211,22277,742.333333333333,226.333333333333,741.666666666667,228.333333333333,82,7714.66666666667,82,1,"Network #909",0.0654611159638217,35.5685367603694,17.7213097178223,46.7101535218084
"26","Network #1661","Dataset #168","mutualistic",30,46,0.0511111111111111,1.53333333333333,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,85,20610.5,85,NA,"Network #1661",0.0927626940847127,30.07675914453,14.9849817704898,54.9382590849802
"27","Network #1662","Dataset #168","mutualistic",35,58,0.0473469387755102,1.65714285714286,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,86,20610.5,86,NA,"Network #1662",0.0539338643885794,15.3008842144371,16.4233532774014,68.2757625081616
"28","Network #1663","Dataset #168","mutualistic",13,11,0.0650887573964497,0.846153846153846,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,87,20610.5,87,NA,"Network #1663",0.150375629646635,40.293574243855,2.53924766985017,57.1671780862948
"29","Network #5198","Dataset #181","mutualistic",274,137,0.00182481751824818,0.5,"Pollination network at site twin_meadows during week 13 of 2015","10.1111/ele.12740",2020,"Paul CaraDonna","https://onlinelibrary.wiley.com/doi/10.1111/ele.12740","terrestrial",32.3333333333333,295.666666666667,49,10839.3333333333,306.333333333333,-300,606.333333333333,157,-94.6666666666667,158.666666666667,-101,470.333333333333,795.666666666667,262,18912,728,279.666666666667,717.333333333333,284.666666666667,88,16682.3333333333,88,2.02859425544739,"Network #5198",1.0563947464852e-16,0,0,100
"30","Network #1646","Dataset #168","mutualistic",29,46,0.0546967895362663,1.58620689655172,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,93,20610.5,93,NA,"Network #1646",0.00924824943849908,3.33196885692962e-29,6.4425896889196,93.5574103110804
