"","distance","bio1","bio4","bio12","bio15","solar_radiation","human_footprint"
"35",0.0816428128195356,135.666666666667,5488.66666666667,457,7342,16673.6666666667,8.32347774505615
"36",0.019802436995647,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"37",2.17319615927069e-17,173,6406,784,21854.6666666667,14644.25,17
"38",3.85206236797534e-17,160,6572.66666666667,763,22815.6666666667,14527,30.5026359558105
"39",2.80406020650381e-17,173,6406,784,21854.6666666667,14644.25,20.427562713623
"40",4.64496166397935e-17,173,6406,784,21854.6666666667,14644.25,20.427562713623
"41",0.0225692803503124,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"42",0.209784445963755,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"43",0.0557951235412619,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"44",0.00691990329963559,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"45",0.0130839941668101,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"46",0.0537468558656471,76.6666666666667,4029,653,14810,13934.5,7.53377723693848
"47",0.115890530729573,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"48",0.0982964443554661,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"49",0.429869269522571,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"50",0.0992978656551508,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"51",0.00906480705226413,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"52",0.0541363363461306,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"53",0.0039588375283408,135.666666666667,5488.66666666667,457,7342,16673.6666666667,8.32347774505615
"54",2.17459978595664e-17,173,6406,784,21854.6666666667,14644.25,NA
"55",3.15398685445963e-17,173,6406,784,21854.6666666667,14644.25,13.5604696273804
"56",2.04446475170199e-17,173,6406,784,21854.6666666667,14644.25,17
"57",0.0113079297028406,256,524.666666666667,1766.66666666667,6098,16081.75,7.45296478271484
"58",0.00689970878635534,220.666666666667,825.333333333333,1600,6908.66666666667,15949,8.8825216293335
"59",0.0286875709338187,265.666666666667,2243,1459.33333333333,20333.6666666667,18571.1666666667,NA
"60",0.0202321253054955,190,3310.66666666667,1082.66666666667,19483,13219,NA
"61",0.0530445314402833,82.3333333333333,3797,664.666666666667,14223.6666666667,13639.8333333333,14.68665599823
"62",0.00275786193528006,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"63",0.037824781906844,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"64",0.0427365757372602,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"65",0.258595801580001,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"66",0.0408185520145138,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"67",0.146936348237071,275.666666666667,1981.66666666667,1388,16263.6666666667,14967.5,NA
"68",0.0533187855937398,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"69",0.036650362604068,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"70",0.0540400125553091,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"71",0.0363761081021561,201.333333333333,3090.66666666667,1221.33333333333,27157.6666666667,13329.25,5.77224063873291
"72",0.11580114785805,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"73",0.0505142078381342,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"74",0.0380690126586238,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"75",0.11696914592969,181.333333333333,7890.66666666667,1056.33333333333,38865.6666666667,13491.25,10.8946914672852
"76",4.1979051454189e-17,160,6572.66666666667,763,22815.6666666667,14626,NA
"77",0.0178571428571431,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"78",0.089756459406134,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"79",0.157297953963389,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"80",0.163389563660748,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"81",0.118917147251886,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"82",0.0238784648681731,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"83",0.0176363346032177,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"84",0.011303886805201,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"85",0.0379313208720202,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"86",0.0592319656652889,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"87",0.0246634315145501,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"88",0.00754212675436084,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"89",0.0167038781342708,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"90",0.0478327550131161,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"91",0.0154022538725447,76.6666666666667,4029,653,14810,13934.5,2
"92",0.0360809697316467,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"93",0.0102917359353263,135.666666666667,5488.66666666667,457,7342,16673.6666666667,8.32347774505615
